Year,Month,Temperature,Humidity,Crime,Crime.occur(Crime>=Crime.mean),Crime.occur
2013,12,-0.2,60,5219,0,Normal
2013,11,6.2,58,5367,0,Normal
2013,10,15.8,59,6016,1,Danger
2013,9,21.8,63,5603,0,Normal
2013,8,27.7,69,5796,0,Normal
2013,7,25.5,79,6366,1,Danger
2013,6,24.4,60,5740,0,Normal
2013,5,18.2,58,5834,0,Normal
2013,4,10,54,5363,0,Normal
2013,3,5.1,49,4936,0,Normal
2013,2,-1.2,54,4192,0,Normal
2013,1,-3.4,57,4990,0,Normal
2012,12,-4.1,57,5276,0,Normal
2012,11,5.5,57,5559,0,Normal
2012,10,15.3,58,6563,1,Danger
2012,9,21,65,5986,1,Danger
2012,8,27.1,68,6513,1,Danger
2012,7,25.4,74,6775,1,Danger
2012,6,24.1,54,6346,1,Danger
2012,5,19.7,48,6426,1,Danger
2012,4,12.3,54,5852,0,Normal
2012,3,5.1,52,5418,0,Normal
2012,2,-2,43,4683,0,Normal
2012,1,-2.8,49,5235,0,Normal
2011,12,-0.9,51,5738,0,Normal
2011,11,10.7,61,6077,1,Danger
2011,10,14.2,55,6087,1,Danger
2011,9,21.8,58,6035,1,Danger
2011,8,25.8,74,6730,1,Danger
2011,7,24.6,79,7332,1,Danger
2011,6,22,67,6130,1,Danger
2011,5,17.9,57,6174,1,Danger
2011,4,10.7,54,5379,0,Normal
2011,3,3.6,51,6214,1,Danger
2011,2,1.2,55,4889,0,Normal
2011,1,-7.2,54,5276,0,Normal
2010,12,-1.3,56,6118,1,Danger
2010,11,6.5,55,6018,1,Danger
2010,10,14.5,61,6103,1,Danger
2010,9,21.8,72,6160,1,Danger
2010,8,26.5,78,6330,1,Danger
2010,7,25.8,74,5909,1,Danger
2010,6,23.4,62,6071,1,Danger
2010,5,17.2,62,6017,1,Danger
2010,4,9.5,54,5474,0,Normal
2010,3,4.3,59,5515,0,Normal
2010,2,1.4,59,4300,0,Normal
2010,1,-4.5,65,4783,0,Normal
2009,12,-1,60,5528,0,Normal
2009,11,6.9,64,5611,0,Normal
2009,10,16,62,5626,0,Normal
2009,9,21.8,64,6117,1,Danger
2009,8,25.7,69,5544,0,Normal
2009,7,24.3,76,6870,1,Danger
2009,6,22.4,66,7459,1,Danger
2009,5,19.1,59,7049,1,Danger
2009,4,12.7,54,6531,1,Danger
2009,3,6,52,6532,1,Danger
2009,2,2.9,57,5119,0,Normal
2009,1,-2,50,5081,0,Normal
2008,12,1.1,56,6493,1,Danger
2008,11,7.6,58,5871,0,Normal
2008,10,16.1,62,6907,1,Danger
2008,9,22,64,6979,1,Danger
2008,8,25.3,70,6023,1,Danger
2008,7,25.1,78,6791,1,Danger
2008,6,21.5,65,6958,1,Danger
2008,5,17.7,58,6427,1,Danger
2008,4,14.1,50,6080,1,Danger
2008,3,7.3,56,5690,0,Normal
2008,2,-1.2,46,4534,0,Normal
2008,1,-1.7,50,5534,0,Normal
