time,high.acc,high.dead,high,hacc.ratio,hdead.ratio,acc.occur,dead.occur,DANGER,DANGER
2,225,27,196735,0.114367042,12,1,1,1,Danger
4,162,27,187975,0.086181673,16.66666667,1,1,1,Danger
6,215,29,586190,0.036677528,13.48837209,1,1,1,Danger
8,295,16,1277865,0.023085381,5.423728814,0,0,0,Normal
10,383,12,1598335,0.023962436,3.133159269,0,0,0,Normal
12,425,22,1759300,0.024157335,5.176470588,1,0,0,Normal
14,375,15,1755285,0.021364052,4,0,0,0,Normal
16,471,23,1899460,0.024796521,4.883227176,1,0,0,Normal
18,485,18,1853470,0.026167135,3.711340206,1,0,0,Normal
20,464,15,1285165,0.036104313,3.232758621,1,0,0,Normal
22,327,20,838770,0.038985658,6.116207951,1,1,1,Danger
24,252,28,415005,0.06072216,11.11111111,1,1,1,Danger
2,256,26,291270,0.08789096,10.15625,1,1,1,Danger
4,185,17,266815,0.069336432,9.189189189,1,1,1,Danger
6,200,24,815410,0.024527538,12,1,1,1,Danger
8,286,14,1720610,0.016622012,4.895104895,0,0,0,Normal
10,370,11,2062250,0.017941569,2.972972973,0,0,0,Normal
12,453,15,2207155,0.020524159,3.311258278,0,0,0,Normal
14,374,15,2230880,0.016764685,4.010695187,0,0,0,Normal
16,485,34,2418855,0.020050809,7.010309278,0,1,0,Normal
18,500,22,2414110,0.020711567,4.4,0,0,0,Normal
20,436,22,1732290,0.025168996,5.04587156,1,0,0,Normal
22,301,20,1180045,0.025507502,6.644518272,1,1,1,Danger
24,300,28,613200,0.048923679,9.333333333,1,1,1,Danger
2,251,31,316455,0.079316174,12.35059761,1,1,1,Danger
4,198,29,314265,0.063004153,14.64646465,1,1,1,Danger
6,211,29,1016160,0.020764447,13.74407583,0,1,0,Normal
8,317,21,1915885,0.016545878,6.624605678,0,1,0,Normal
10,330,21,2304975,0.014316858,6.363636364,0,1,0,Normal
12,470,23,2390020,0.019665107,4.893617021,0,0,0,Normal
14,451,21,2425060,0.018597478,4.65631929,0,0,0,Normal
16,532,23,2629095,0.0202351,4.323308271,0,0,0,Normal
18,485,11,2610480,0.018578959,2.268041237,0,0,0,Normal
20,462,9,1910410,0.02418329,1.948051948,1,0,0,Normal
22,317,16,1310715,0.024185273,5.047318612,1,0,0,Normal
24,323,39,665395,0.048542595,12.07430341,1,1,1,Danger
2,250,22,412450,0.060613408,8.8,1,1,1,Danger
4,205,20,373030,0.054955366,9.756097561,1,1,1,Danger
6,229,32,1256330,0.018227695,13.97379913,0,1,0,Normal
8,324,21,2369580,0.013673309,6.481481481,0,1,0,Normal
10,354,15,2760495,0.012823787,4.237288136,0,0,0,Normal
12,492,22,2846635,0.017283565,4.471544715,0,0,0,Normal
14,435,22,2883865,0.015083924,5.057471264,0,0,0,Normal
16,566,19,3091185,0.01831013,3.356890459,0,0,0,Normal
18,505,11,3074760,0.016424046,2.178217822,0,0,0,Normal
20,498,19,2344760,0.021238847,3.815261044,0,0,0,Normal
22,319,18,1680825,0.018978775,5.642633229,0,0,0,Normal
24,318,20,884030,0.03597163,6.289308176,1,1,1,Danger
2,257,28,218270,0.117744078,10.89494163,1,1,1,Danger
4,187,23,189800,0.098524763,12.29946524,1,1,1,Danger
6,186,22,677075,0.027471107,11.82795699,1,1,1,Danger
8,237,33,1455985,0.01627764,13.92405063,0,1,0,Normal
10,259,21,1677905,0.015435916,8.108108108,0,1,0,Normal
12,368,19,1712215,0.021492628,5.163043478,0,0,0,Normal
14,343,20,1748350,0.019618497,5.83090379,0,0,0,Normal
16,399,23,1906030,0.020933563,5.764411028,0,0,0,Normal
18,409,22,1969175,0.020770119,5.378973105,0,0,0,Normal
20,401,29,1419485,0.028249682,7.2319202,1,1,1,Danger
22,257,8,945715,0.027175206,3.112840467,1,0,0,Normal
24,280,25,479975,0.058336372,8.928571429,1,1,1,Danger
2,279,28,459170,0.060761809,10.03584229,1,1,1,Danger
4,195,28,412815,0.047236656,14.35897436,1,1,1,Danger
6,207,35,1409265,0.014688508,16.90821256,0,1,0,Normal
8,221,23,2595880,0.008513491,10.40723982,0,1,0,Normal
10,215,18,2967815,0.007244387,8.372093023,0,1,0,Normal
12,291,28,3024390,0.009621775,9.621993127,0,1,0,Normal
14,282,29,3079505,0.009157316,10.28368794,0,1,0,Normal
16,314,25,3309090,0.009489014,7.961783439,0,1,0,Normal
18,368,19,3326245,0.011063527,5.163043478,0,0,0,Normal
20,327,19,2560110,0.012772889,5.810397554,0,0,0,Normal
22,248,21,1862960,0.013312148,8.467741935,0,1,0,Normal
24,284,25,985135,0.028828536,8.802816901,1,1,1,Danger
